class,pattern,count,kind,examples
perfekt_frame,habe … bezahlt,82,frame,366502;450244;453892
perfekt_frame,hat … geöffnet,82,frame,396631;396638;479624
perfekt_frame,hast … gefragt,81,frame,819204;965988;682715
perfekt_frame,war … leicht,79,frame,412970;482161;482967
perfekt_frame,hat … wahrheit,78,frame,473931;751735;728307
perfekt_frame,haben … gegeben,77,frame,358248;623052;332157
perfekt_frame,habe … verpasst,77,frame,349953;372576;407778
perfekt_frame,sind … beschäftigt,77,frame,368832;358314;446391
perfekt_frame,haben … gelesen,77,frame,370306;358418;359681
perfekt_frame,ist … gegenüber,77,frame,368299;416457;414008
perfekt_frame,hat … geküsst,77,frame,910954;910955;910956
perfekt_frame,bin … gefahren,76,frame,343601;597299;522108
perfekt_frame,hat … überhaupt,75,frame,368593;541334;413
perfekt_frame,hat … gebrochen,75,frame,497;370218;701290
perfekt_frame,ist … geöffnet,75,frame,343086;119824;345238
perfekt_frame,habe … geholfen,75,frame,331894;331893;331895
perfekt_frame,ist … geschrieben,75,frame,383393;344275;444931
perfekt_frame,habe … nachgedacht,75,frame,347991;1325346;1846724
perfekt_frame,haben … kennengelernt,75,frame,582221;1894263;653382
perfekt_frame,habt … getan,75,frame,1576012;989614;1515081
perfekt_frame,hat … geschmeckt,74,frame,1260946;444620;660453
perfekt_frame,habe … gehabt,74,frame,1059042;583008;1391420
perfekt_frame,habe … erwartet,73,frame,1198;1148;351812
perfekt_frame,hat … umgebracht,73,frame,438755;343572;425088
perfekt_frame,ist … gemacht,72,frame,353006;368712;1102
perfekt_frame,bin … arbeit,72,frame,342793;332134;362796
perfekt_frame,ist … ernst,72,frame,446398;657093;368544
perfekt_frame,habe … erzählt,72,frame,1139190;1298717;1293433
perfekt_frame,habe … besucht,71,frame,138819;343687;349943
perfekt_frame,hast … verstanden,71,frame,1003505;441622;343485
perfekt_frame,hat … geschenkt,71,frame,579532;406891;448161
perfekt_frame,hat … gebaut,70,frame,356180;638523;348152
perfekt_frame,hat … verletzt,70,frame,734009;406849;356534
perfekt_frame,bin … verliebt,70,frame,362656;499783;732746
perfekt_frame,habt … gegessen,70,frame,368568;425623;622918
perfekt_frame,habe … verbracht,69,frame,876;366488;905
perfekt_frame,ist … gelaufen,69,frame,642928;6121;454206
perfekt_frame,ist … zurückgekehrt,69,frame,343057;351739;342017
perfekt_frame,hat … erklärt,68,frame,349850;139395;351059
perfekt_frame,war … enttäuscht,68,frame,783472;399903;556136
perfekt_frame,hast … geschrieben,67,frame,361459;139105;346945
perfekt_frame,war … beeindruckt,67,frame,705736;608752;584200
perfekt_frame,bin … überrascht,67,frame,626968;792212;658105
perfekt_frame,hat … gedauert,66,frame,351262;370376;608429
perfekt_frame,ist … gebäude,66,frame,362809;431448;439108
perfekt_frame,hat … gebissen,66,frame,654637;437928;520743
perfekt_frame,hat … getötet,66,frame,660543;443667;701709
perfekt_frame,ist … korrekt,65,frame,428487;555834;341736
perfekt_frame,hat … gerettet,65,frame,362256;353315;344359
perfekt_frame,habt … angst,65,frame,755393;396465;351677
perfekt_frame,habe … mitgebracht,65,frame,627291;860282;392466
perfekt_frame,hat … gehabt,65,frame,1290598;910367;1109106
perfekt_frame,hat … gelogen,64,frame,345539;404608;374131
perfekt_frame,habe … gespielt,64,frame,349920;349919;349922
perfekt_frame,haben … arbeit,64,frame,371790;392401;624295
perfekt_frame,hast … selbst,64,frame,710121;535979;934240
perfekt_frame,hast … erzählt,63,frame,612551;1084;380791
perfekt_frame,habe … bemerkt,63,frame,876430;408543;737411
perfekt_frame,sind … bereit,63,frame,604247;682993;563921
perfekt_frame,hat … studiert,63,frame,725927;829287;785316
perfekt_frame,haben … verstanden,63,frame,1012397;1391222;757004
perfekt_frame,ist … krankheit,62,frame,404401;683;539186
perfekt_frame,hat … geschenk,62,frame,351104;370220;403855
perfekt_frame,ist … bewusst,62,frame,413917;614839;561999
perfekt_frame,haben … geschafft,61,frame,1270;926074;935673
perfekt_frame,hat … geschneit,61,frame,509800;348425;363364
perfekt_frame,habe … gewarnt,61,frame,1824900;398881;1824352
perfekt_frame,haben … gefragt,61,frame,1195732;819206;682718
perfekt_frame,hat … gebacken,61,frame,1441026;688290;1777506
perfekt_frame,haben … geschrieben,61,frame,796487;943763;846217
perfekt_frame,ist … gefängnis,60,frame,1213;426786;367271
perfekt_frame,hat … verpasst,60,frame,344357;344472;344918
perfekt_frame,hast … getroffen,60,frame,344523;371726;345036
perfekt_frame,ist … student,60,frame,351790;527027;660639
perfekt_frame,habe … genommen,60,frame,379875;353041;370209
perfekt_frame,sind … befreundet,60,frame,424721;365899;609772
perfekt_frame,sind … geblieben,60,frame,628940;369795;389133
perfekt_frame,bin … begegnet,60,frame,370159;812746;657429
perfekt_frame,hat … gestellt,60,frame,403838;431491;612048
perfekt_frame,hast … getrunken,60,frame,1210577;480337;924899
perfekt_frame,hatte … vergessen,60,frame,743657;876733;503697
perfekt_frame,habe … geträumt,59,frame,370104;812;644403
perfekt_frame,haben … gewonnen,59,frame,776159;554516;342021
perfekt_frame,war … arbeit,59,frame,405814;370878;381147
perfekt_frame,habt … gefunden,59,frame,758207;1611490;2381491
perfekt_frame,hat … gelebt,58,frame,348144;360554;381153
perfekt_frame,habe … gestellt,58,frame,796517;990267;368266
perfekt_frame,hat … genannt,58,frame,1390683;1369706;474412
perfekt_frame,ist … denkst,58,frame,1336742;905309;974753
perfekt_frame,habe … gelebt,57,frame,343073;341911;348
perfekt_frame,hat … überrascht,57,frame,353580;400206;820
perfekt_frame,hat … gelassen,57,frame,344432;357160;370391
perfekt_frame,ist … planet,57,frame,473787;576265;379078
perfekt_frame,ist … geburtstag,57,frame,396183;656408;467715
perfekt_frame,haben … geholfen,57,frame,607009;645681;2047820
perfekt_frame,hat … gehalten,56,frame,343448;358440;412235
perfekt_frame,ist … schönheit,56,frame,351106;407336;517365
perfekt_frame,ist … restaurant,56,frame,403076;360859;511236
perfekt_frame,haben … gemeinsam,56,frame,480103;532582;396499
perfekt_frame,seid … gekommen,56,frame,457927;638844;781086
perfekt_frame,haben … gebracht,56,frame,1559945;1724053;947534
perfekt_frame,haben … gewartet,55,frame,353331;366456;421677
perfekt_frame,hat … gesicht,55,frame,385365;431406;361539
perfekt_frame,habe … geliebt,55,frame,1784912;1098538;1440157
perfekt_frame,bin … geblieben,54,frame,427898;403856;344478
perfekt_frame,hast … bezahlt,54,frame,399326;358426;622703
perfekt_frame,ist … absolut,54,frame,368733;612329;395431
perfekt_frame,hat … gefangen,54,frame,705689;402033;621455
perfekt_frame,habe … gelassen,54,frame,562289;727393;404728
perfekt_frame,haben … nacht,54,frame,493378;690128;407624
