lemma,pos,gloss,source
könig,noun,"king (monarch, chess, card games)",lemma
königin,noun,queen,lemma
können,verb,"to be able (to do or be something), to have the possibility of, can.",lemma
körper,noun,"body (of a person, animal, etc.)",lemma
köstlich,adj,costly; precious,lemma
küche,noun,kitchen (room),lemma
kühlschrank,noun,refrigerator,lemma
kümmern,verb,"to take care, to look after",lemma
künstler,noun,artist,lemma
künstlich,adj,artificial,lemma
kürzlich,adj,recent,lemma
küssen,verb,to kiss,lemma
küste,noun,coast,lemma
lachen,verb,to laugh,lemma
laden,verb,"to load (something) e.g. into a container or onto a vehicle, to load up",lemma
lag,noun,"latency, lag (the delay between a request and its response)",lemma
lampe,noun,"lamp, light (piece of furniture, or fixture mounted on a wall or ceiling, holding one or more electric light sockets)",lemma
land,noun,country (territory of a nation),lemma
landschaft,noun,landscape,lemma
lang,adj,long; lengthy (in space or time),lemma
langsam,adj,slow (taking a long time to move or travel; not happening in a short time),lemma
langweilen,verb,to bore (inspire boredom in someone),lemma
langweilig,adj,"boring, dull, tedious",lemma
lassen,verb,to allow; to permit; to let,lemma
last,noun,"load, burden",lemma
lastwagen,noun,"truck, lorry",lemma
latein,name,Latin,lemma
lauf,noun,"run, race",lemma
laufen,verb,to walk; to jog; to run (to move on foot; either at a normal or an increased speed),lemma
laune,noun,"mood, humor",lemma
laut,adj,"loud, noisy",lemma
lauten,verb,"to be, to read (have a certain content or wording)",lemma
leben,verb,"to live, to be alive",lemma
lebensmittel,noun,"any item or substance intended for human consumption (excluding drugs other than alcohol), food, comestible",lemma
leck,adj,leaky,lemma
lediglich,adv,merely,lemma
leer,adj,empty,lemma
legen,verb,to lie down,lemma
lehnen,verb,to lean,lemma
lehren,verb,"to teach (a class, a subject); to be a teacher",lemma
lehrerin,noun,teacher,form-of
leiche,noun,"dead body, corpse, cadaver, carcass",lemma
leicht,adj,light (not heavy),lemma
leid,adj,"distressing, uncomfortable",lemma
leiden,verb,"to suffer, to experience pain, sorrow, etc.",lemma
leidenschaft,noun,passion (powerful emotion),lemma
leihen,verb,to borrow,lemma
leis,adj,alternative form of leise,lemma
leise,adj,"quiet, soft, low",lemma
leisten,verb,"to perform (a task, work), to accomplish (a task), to achieve (a goal)",lemma
leistung,noun,"performance, accomplishment, achievement",lemma
leiter,noun,ladder,lemma
lektion,noun,"lesson (chapter of a textbook, section of a course)",lemma
lernen,verb,"to learn, to acquire knowledge",lemma
lesen,verb,"to read (to look at and understand symbols, words, or data)",lemma
letzt,noun,only in fixed expressions,lemma
letzte,adj,last,lemma
letztemal,adv,superseded spelling of letzte Mal (“(the) last time”),lemma
letztlich,adv,"finally, ultimately",lemma
leut,noun,alternative form of Leute,lemma
leute,noun,"people (several individual persons, a group of people in general, esp. of one kind or another), folk (folks), peeps (slang), guys (boys and/or girls)",lemma
licht,adj,sparse (e.g. of hair or a forest),lemma
lieb,adj,lovable; dear; darling; sweet; good-hearted; kind,lemma
lieben,verb,"to love, to have a strong affection for (someone or something)",lemma
liebst,verb,"to love, to have a strong affection for (someone or something)",form-of
lied,noun,song (musical composition sung with vocals or vocal lyrics),lemma
liegen,verb,to lie (to be in a horizontal position),lemma
linda,name,a female given name from the Germanic languages,lemma
linie,noun,line,lemma
link,adj,left,lemma
lippe,noun,lip,lemma
liste,noun,list,lemma
liter,noun,"liter, litre",lemma
literatur,noun,"literature (written works collectively, often about a certain topic, in a certain language etc.)",lemma
lkw,noun,abbreviation of Lastkraftwagen (“truck”),lemma
loch,noun,hole; perforation,lemma
logik,noun,logic,lemma
lohn,noun,wage,lemma
lohnen,verb,to be worthwhile,lemma
london,name,"London (the capital city of the United Kingdom; the capital city of England, within Greater London)",lemma
los,adv,"rid of, free of",lemma
luft,noun,"air, atmosphere",lemma
lust,noun,desire; the wish to do or have something,lemma
lustig,adj,"funny, humorous",lemma
lächeln,verb,to smile,lemma
lächerlich,adj,"ridiculous, risible, laughable",lemma
längst,adv,"long ago, long",lemma
lärm,noun,"noise, din, racket",lemma
löffel,noun,spoon,lemma
löschen,verb,"to quench (fire, thirst, or lime)",lemma
lösen,verb,to loose; to loosen; to detach; to remove,lemma
lösung,noun,solution (answer to a riddle or problem),lemma
löwe,noun,lion,lemma
löwen,name,Louvain (a city in Belgium),lemma
lügen,verb,to tell a lie; to lie (to intentionally give false information),lemma
lügner,noun,liar (one who tells lies) (male or of unspecified gender),lemma
machen,verb,"to make, to produce, to create (an object, arrangement, situation, etc.)",lemma
magen,noun,"stomach, maw",lemma
mahlzeit,noun,meal,lemma
mai,noun,May (month),lemma
mailen,verb,"to email, e-mail",lemma
mal,adv,times (indicating multiplication of two numbers),lemma
male,verb,to paint (do paintwork),form-of
malen,verb,to paint (do paintwork),lemma
mama,noun,"mum, mummy, mom, mommy",lemma
man,adv,just; only,lemma
manch,pron,many a; many; some,lemma
manchmal,adv,sometimes,lemma
mangel,noun,"lack, shortage (the condition of having an insufficient amount of a resource, or none at all)",lemma
mann,noun,"man, male human being",lemma
mannschaft,noun,crew members of a ship,lemma
mantel,noun,"coat, overcoat (long jacket that covers at least part of the thighs)",lemma
mar,noun,crow's nest,form-fallback
mari,noun,money,form-fallback
maria,name,"a female given name, equivalent to English Mary",lemma
markt,noun,market (gathering for sale and purchase),lemma
maschine,noun,machine,lemma
maske,noun,mask,lemma
material,noun,material (matter),lemma
mathe,noun,"math, maths (short form of mathematics)",lemma
mathematik,noun,mathematics (study),lemma
mau,adj,"unwell, queasy, poorly, ill",lemma
maus,noun,mouse (animal),lemma
maß,noun,Switzerland and Liechtenstein standard spelling of Maß,lemma
medien,noun,"the mediae consonants, 'b', 'd', and 'g'. (e.g. those subject to the Medienverschiebung).",lemma
medikament,noun,"drug, medicine",lemma
medizin,noun,medicine (the study of disease and treatment; the profession based thereon),lemma
meer,noun,sea,lemma
mehl,noun,flour; meal (ground cereal),lemma
mehr,adv,more,lemma
mehrere,pron,"multiple, several; more than one; a number of",lemma
mehrheit,noun,majority; bulk,lemma
mehrmals,adv,"several times, repeatedly",lemma
meile,noun,mile (unit of distance),lemma
mein,det,my,lemma
meinen,verb,"to opine, to think; to believe; to suppose",lemma
meinung,noun,opinion,lemma
meist,adj,much; many,form-of
meistens,adv,mostly (for the most part),lemma
melden,verb,"to report, to inform (about an incident or condition)",lemma
menge,noun,quantity,lemma
mensch,pron,"one, they (indefinite third-person singular pronoun)",lemma
menschheit,noun,"humanity, mankind (human beings at large)",lemma
menschlich,adj,"human, manlike",lemma
merken,verb,"to notice, to sense, to be able to tell (the difference in a situation or state)",lemma
messer,noun,knife,lemma
meter,noun,meter (unit of length),lemma
methode,noun,manner,lemma
mexiko,name,"Mexico (a country in North America, located south of the United States, and northwest of Guatemala and Belize from Central America)",lemma
miete,noun,rent,lemma
mieten,verb,"to hire, to rent",lemma
mike,name,a male given name,lemma
milch,noun,milk (white liquid produced by female mammals for their young to consume),lemma
milliarde,noun,billion (10⁹),lemma
million,noun,million (10⁶),lemma
mindestens,adv,at least (at a lower limit),lemma
minister,noun,minister (a person who is commissioned by the government for public service),lemma
minute,noun,minute (unit of time; unit of angle),lemma
mist,noun,manure (domestic animals’ excrement mixed with hay),lemma
mit,adv,among; denotes a belonging of a person or a thing to a group,lemma
mitarbeiter,noun,"employee (person who works, together with others, in a particular business or institution)",lemma
mitbringen,verb,"to bring (along, with), to accompany",lemma
miteinander,adv,together (with),lemma
mitglied,noun,member,lemma
mitkommen,verb,"to come with, to join and come along with (another person)",lemma
mitleid,noun,"pity, compassion",lemma
mitnehmen,verb,to take with; to carry along,lemma
mittag,noun,"noon, midday, late morning, early afternoon (time from about 11 a.m. to 2 p.m)",lemma
mittagessen,verb,"to lunch, to have lunch",lemma
mitte,noun,middle,lemma
mitteilen,verb,"to inform about, to tell, to disclose, to impart, to report, to announce",lemma
mittel,adj,"average, middling",lemma
mitten,adv,In the middle.,lemma
mitternacht,noun,midnight,lemma
mittwoch,noun,Wednesday,lemma
mobiltelefon,noun,mobile phone (a portable telephone),lemma
mode,noun,"fashion, trend",lemma
modern,verb,"to rot, to molder",lemma
moment,noun,moment,lemma
momentan,adj,current,lemma
monat,noun,"month (division of a year, usually one twelfth ≈ 30 days)",lemma
mond,noun,moon (a natural satellite that is orbiting its corresponding planet),lemma
montag,noun,Monday,lemma
mord,noun,murder,lemma
morgen,adv,tomorrow,lemma
moschee,noun,mosque,lemma
moskau,name,"Moscow (a federal city, the capital of Russia)",lemma
motor,noun,engine (mechanical device),lemma
motorrad,noun,motorcycle,lemma
mund,noun,mouth of a person,lemma
museum,noun,"museum (building or institution dedicated to the protection and exhibition of items with scientific, historical, cultural or artistic value)",lemma
musik,noun,music,lemma
musiker,noun,musician,lemma
muss,noun,"necessity, a must",lemma
mut,noun,courage; bravery,lemma
mutig,adj,courageous,lemma
mutter,noun,mother,lemma
muttersprache,noun,mother tongue; native language,lemma
muttersprachler,noun,native speaker (male or of unspecified gender) (a person who grew up with a particular language as their mother tongue),lemma
muß,noun,"necessity, a must",lemma
mädchen,noun,girl,lemma
märchen,noun,fairy tale (folk tale),lemma
märz,noun,March,source-fallback
mäuse,noun,mouse,form-of
möbel,noun,piece of furniture,lemma
mögen,verb,to like (something or someone),lemma
möglich,adj,possible (what can be done or achieved),lemma
möglicherweise,adv,"possibly, potentially",lemma
möglichkeit,noun,"possibility, likelihood",lemma
möglichst,adv,as much as possible,lemma
mörder,noun,"murderer, assassin, assassinator, killer, slayer (male or of unspecified gender)",lemma
müde,adj,tired,lemma
mühe,noun,"effort, difficulty",lemma
müll,noun,"rubbish, refuse, waste, junk, trash (US), garbage (US)",lemma
müssen,verb,to have to (do something); must; to be obliged (to do something); to need (to do something).,lemma
mütze,noun,cap,lemma
na,intj,"well!, so!; used to introduce a statement",lemma
nach,adv,Separated form of nach-,lemma
nachbar,noun,neighbour,lemma
nachbarin,noun,female neighbor,lemma
nachdem,conj,after (that),lemma
nachdenken,verb,"to think, to reflect, to ponder",lemma
nachmittag,noun,afternoon (part of the day from about 2 p.m. to about 6 p.m.),lemma
nachricht,noun,"news, piece of news, notification",lemma
nacht,noun,night,lemma
nachtisch,noun,"dessert, pudding (UK)",lemma
nachts,adv,"at night, nights",lemma
nackt,adj,naked,lemma
nagel,noun,"A nail, the horny plate on fingers and toes of humans and certain animals which mostly consists of keratin.",lemma
nah,adj,"near (in space or time or in an abstract sense), close, nearby",lemma
nahrung,noun,"nourishment, food",lemma
naiv,adj,green (inexperienced),lemma
nam,noun,"name (forename, Christian name, given name)",form-of
name,noun,"name (forename, Christian name, given name)",lemma
namen,noun,alternative form of Name,lemma
narr,noun,"jester, fool",lemma
narren,verb,to fool,lemma
nase,noun,nose,lemma
nass,adj,wet (soaked with liquid),lemma
nation,noun,nation (community of people),lemma
natur,noun,nature (the natural world),lemma
natürlich,adj,"natural, normal",lemma
ne,article,alternative spelling of 'ne,lemma
nebel,noun,"fog, mist, haze",lemma
neben,prep,"next to, beside, alongside, adjacent to, near, near to",lemma
nebenan,adv,next door,lemma
nehmen,verb,to take (something into one's possession or on one's body),lemma
neid,noun,"envy, jealousy",lemma
neigen,verb,"to incline, slant, tilt, bend, lower (move something in some direction by bowing or turning slightly)",lemma
nein,noun,a no,lemma
nennen,verb,to name (to give a name to),lemma
nerven,verb,"to annoy, to irritate",lemma
nervös,adj,nervous (anxious),lemma
nett,adj,nice; friendly; likable,lemma
netz,noun,"net; web; mesh (construction of interwoven fibres, e.g. that of a fisher, a spider, etc.)",lemma
neu,adj,new,lemma
neugier,noun,curiosity,lemma
neugierig,adj,"nosy, curious, inquisitive, prying",lemma
neuigkeit,noun,news (item of),lemma
neulich,adv,recently (in the recent past),lemma
neun,noun,nine,lemma
new,adj,new,alias
nicht,adv,"not, non- (negates the meaning of a verb, adjective, or adverb)",lemma
nie,adv,"never, never at all (referring to an indefinite period of time)",lemma
nieder,adj,low,lemma
niederlage,noun,"defeat, loss",lemma
niemals,adv,never (at no time),lemma
niemand,pron,"nobody, no one",lemma
nirgends,adv,nowhere (in no place),lemma
nirgendwo,adv,nowhere (in no place),lemma
noch,adv,"still, yet (up to and including a given time)",lemma
nochmal,adv,once again,lemma
nord,noun,the north (used without article; a short form of Norden),lemma
normal,adj,"ordinary, normal",lemma
normalerweise,adv,normally,lemma
not,adv,only used in nottun,lemma
notwendig,adj,necessary; essential; indispensable,lemma
november,noun,November,lemma
null,adj,"null, null and void (invalid)",lemma
nummer,noun,number; see usage notes below,lemma
nun,adv,"now, at this moment",lemma
nur,adv,"only, just, merely, simply",lemma
nutzen,verb,to make use of; to deploy; to exploit; to harness; to take (the opportunity of),lemma
nähe,noun,"nearness, closeness",lemma
näher,adj,"further, more precise or detailed",lemma
nämlich,adv,"namely, specifically; used to further specify what exactly one was talking about just before",lemma
nötig,adj,necessary,lemma
nützen,verb,alternative form of nutzen,lemma
nützlich,adj,useful; helpful,lemma
ob,conj,"Introduces an indirect question, a doubt. if, whether.",lemma
oben,adv,above,lemma
obst,noun,fruit (food),lemma
obwohl,conj,"although, though, while",lemma
oder,conj,or,lemma
ofen,noun,clipping of Backofen (“oven”),lemma
off,adj,clipping of offline,lemma
offenbar,adj,apparent (evident),lemma
offensichtlich,adj,obvious,lemma
oft,adv,often,lemma
oh,intj,oh,lemma
ohne,adv,without,lemma
ohr,noun,ear (the auditory organ),lemma
okay,adj,OK,lemma
oktober,noun,October,lemma
oma,noun,"grandma, granny, nan",lemma
onkel,noun,uncle,lemma
online,adj,online,lemma
opa,noun,grandpa,lemma
operation,noun,operation,lemma
opfer,noun,sacrifice,lemma
optimistisch,adj,optimistic,lemma
orang,adj,orange,form-fallback
orange,adj,orange,lemma
ordentlich,adj,"tidy, orderly",lemma
ordnung,noun,"arrangement, regulation",lemma
organisation,noun,"organisation, organization",lemma
original,adj,original,lemma
ort,noun,"place, location, point, position",lemma
osten,noun,East,lemma
ozean,noun,ocean,lemma
paar,det,some; few; a few,lemma
packen,verb,"to pack (luggage, a bundle, etc.); to get packed",lemma
paket,noun,"packet, package, parcel (the term is almost exclusively used for packages sent by mail)",lemma
panik,noun,panic,lemma
papa,noun,"dad, daddy",lemma
papier,noun,paper (material),lemma
papst,noun,pope (head of the Roman Catholic Church; title of other religious leaders such as the Coptic Pope),lemma
paradies,noun,paradise,lemma
paris,name,Paris (the capital and largest city of France),lemma
park,noun,"park (piece of ground in or near a city or town, enclosed and kept for ornament and recreation)",lemma
parken,verb,to park,lemma
parkplatz,noun,"parking lot, outdoor car park",lemma
parlament,noun,parliament,lemma
partei,noun,political party,lemma
partner,noun,"partner, associate (male or of unspecified gender)",lemma
party,noun,party (social gathering),lemma
pass,noun,"pass, mountain pass",lemma
passen,verb,to fit,lemma
passieren,verb,to happen,lemma
passwort,noun,password,lemma
patient,noun,patient (male or of unspecified sex or female),lemma
pause,noun,pause (temporary interruption in speech or an activity),lemma
pech,noun,pitch (sticky substance),lemma
peinlich,adj,"woeful, hurtful",lemma
per,prep,"by, by means of, through, via",lemma
perfekt,adj,perfect,lemma
person,noun,"person, individual",lemma
persönlich,adj,personal,lemma
persönlichkeit,noun,personality,lemma
pferd,noun,horse,lemma
pflanzen,verb,to plant,lemma
pflegen,verb,providing care or service for someone/something,lemma
pflicht,noun,duty,lemma
pfund,noun,"a metric pound, 500 grams, half a kilogram",lemma
phantasie,noun,alternative spelling of Fantasie,lemma
philosophie,noun,philosophy (study of thought),lemma
pilz,noun,mushroom,lemma
pistole,noun,"pistol, gun",lemma
pizza,noun,pizza,lemma
plan,adj,"planar, flat, level, smooth",lemma
planen,verb,to plan (some action or event),lemma
planet,verb,subjunctive I,form-of
platz,noun,"square, plaza, piazza",lemma
pleite,adj,broke,lemma
plus,adv,"plus, increased by",lemma
pläne,adj,"planar, flat, level, smooth",form-of
plötzlich,adj,"sudden, abrupt, brusque",lemma
pol,noun,pole (point on a spherical body's surface intersected by its rotational axis),lemma
politik,noun,politics,lemma
politiker,noun,politician,lemma
politisch,adj,political (concerning or related to politics),lemma
polizei,noun,police; law enforcement,lemma
polizist,noun,police officer (male or female); policeman,lemma
pommes,noun,"fries, French fries, chips (UK)",lemma
portemonnaie,noun,"wallet, purse",lemma
portugiesisch,adj,Portuguese,lemma
post,noun,"mail, post (sent and received letters etc.)",lemma
posten,verb,"to post (to publish an entry or comment in a forum, chat, or social media)",lemma
praktisch,adj,practical,lemma
praxis,noun,"practice, experience",lemma
preis,noun,price,lemma
priester,noun,priest,lemma
prinz,noun,prince,lemma
prinzessin,noun,"princess (female member of a royal family other than a queen, especially a daughter or granddaughter)",lemma
pro,prep,"per, each",lemma
probieren,verb,to try,lemma
problem,noun,problem,lemma
produkt,noun,product,lemma
professor,noun,professor,lemma
programm,noun,program (set of structured ideas or activities; a list thereof),lemma
projekt,noun,project,lemma
prozent,noun,percent,lemma
präsident,noun,"president; chairman, chairperson, chair (male or of unspecified gender)",lemma
prüfung,noun,an official test or examination on a subject,lemma
publikum,noun,"audience, those who see, hear, read some work or performance (crowd, viewership, readership etc.)",lemma
pullover,noun,sweater; pullover; jumper (UK),lemma
punkt,noun,dot (marking an abbreviation),lemma
puppe,noun,doll,lemma
putzen,verb,"to clean, especially by rubbing with something wet, to brush (one's teeth)",lemma
pünktlich,adj,"punctual, on time",lemma
qualität,noun,"quality (level of excellence, level of being free from defects)",lemma
quell,noun,source,lemma
rache,noun,revenge; vengeance,lemma
rad,noun,wheel,lemma
radio,noun,radio (technology that allows broadcasters to transmit audio programs; such programs),lemma
rasch,adj,"quick, rapid, swift",lemma
rasen,verb,to race; to speed (drive faster than permitted),lemma
rat,noun,"advice, counsel",lemma
raten,verb,to advise; to recommend,lemma
ratschlag,noun,piece of advice; (in plural) advice,lemma
rau,adj,rough,lemma
rauch,noun,"smoke, fume",lemma
rauchen,verb,"to smoke, give off smoke",lemma
raum,adj,"of the sea, wide open",lemma
reagieren,verb,to react; to respond,lemma
realität,noun,reality (state of being real),lemma
rechnen,verb,"to count, reckon, calculate, compute",lemma
rechner,noun,computer,lemma
rechnung,noun,"bill, restaurant bill",lemma
recht,adj,"right, right-hand (direction)",lemma
rechtsanwalt,noun,lawyer,lemma
rechtzeitig,adj,punctual,lemma
reden,verb,"to talk, to speak, to orate",lemma
regal,noun,"a rack of shelves, shelving, a shelf (in this collective sense), e.g. an open bookcase",lemma
regel,noun,rule,lemma
regelmäßig,adj,regular; according to the rule; expected; not forming an exception,lemma
regeln,verb,to regulate,lemma
regen,verb,to move (a small amount or unconsciously),lemma
regenschirm,noun,umbrella (used for protection against rain),lemma
regierung,noun,government/administration,lemma
region,noun,region,lemma
regnen,verb,to rain,lemma
rei,verb,to travel,form-of
reich,adj,"rich, wealthy (having a lot of money and possessions)",lemma
reichen,verb,to reach (extend a certain distance),lemma
reichtum,noun,"wealth, richness",lemma
reifen,verb,"to ripen, to mature",lemma
reih,verb,to line up; to arrange (according to some structure),form-of
rein,adj,"pure, clear, plain",lemma
reis,noun,rice,lemma
reisen,verb,to travel,lemma
reiten,verb,to ride; to do horseriding,lemma
religion,noun,religion,lemma
rennen,verb,"to run; to race; to sprint (said of competing sportsmen, animals etc.)",lemma
reparieren,verb,to repair,lemma
respekt,noun,"respect, regard, reverence",lemma
respektieren,verb,to respect,lemma
rest,noun,"rest, remainder, remnant",lemma
restaurant,noun,restaurant,lemma
retten,verb,"to save, to rescue",lemma
revolution,noun,revolution,lemma
rezept,noun,"recipe, formula, guidance",lemma
richt,noun,judge,form-fallback
richtig,adj,"correct, accurate, right",lemma
richtung,prep,"towards, to (in the context of larger scale orientation; arrival at the location is not implied)",lemma
riechen,verb,to smell (something); to sniff (something),lemma
riesig,adj,"gigantic, huge",lemma
ring,noun,"a ring (a circular and hollow object, made of any material.)",lemma
risiko,noun,risk,lemma
riss,noun,"fissure, crack",lemma
robert,name,"a male given name from Frankish, feminine equivalent Roberta, equivalent to English Robert",lemma
roboter,noun,robot,lemma
rock,noun,skirt (garment),lemma
roll,verb,to roll,form-of
rom,noun,"Rom (member of the Roma people), Romani",lemma
roman,noun,novel,lemma
rosa,adj,coloured in a pale shade of pink,lemma
rose,noun,rose,lemma
rosen,noun,rose,form-of
rot,adj,red (colour),lemma
rotwein,noun,"red wine (red-coloured wine made mostly from black grapes, including the skin)",lemma
rucksack,noun,backpack,lemma
ruf,noun,"call, shout, cry",lemma
rufen,verb,"to call out, to shout, to cry (of a person or animal)",lemma
ruh,noun,alternative form of Ruhe,lemma
ruhestand,noun,retirement,lemma
ruhig,adj,quiet,lemma
ruhm,noun,"fame, glory",lemma
rund,adj,"round, rounded, similar as in English, especially:",lemma
runter,adv,"down, down here, downstairs (towards the speaker)",lemma
russisch,adj,Russian,lemma
russland,name,Russia (a transcontinental country in Eastern Europe and North Asia),lemma
rätsel,noun,"riddle, puzzle, mystery, enigma",lemma
rücken,verb,"to move, to push",lemma
sache,noun,"matter, affair, case, question, issue",lemma
sack,noun,"sack (large bag, especially one made of fabric)",lemma
saft,noun,juice,lemma
sagen,verb,to say (to pronounce; communicate verbally),lemma
salat,noun,"salad (mixed, usually cold dish)",lemma
salz,noun,"salt, table salt, sal",lemma
sammeln,verb,to gather; to assemble; to collect,lemma
samstag,noun,Saturday,lemma
sand,noun,sand (particles of rock),lemma
sandwich,noun,sandwich (snack),lemma
sanft,adj,gentle,lemma
sang,verb,to sing,form-of
satt,adj,"not hungry, satiated, full, done",lemma
satz,noun,sentence,lemma
sau,noun,sow (female pig),lemma
sauber,adj,clean,lemma
saßen,verb,to sit; to perch,form-of
schach,noun,chess (game),lemma
schachtel,noun,"a small, usually square box, package or case",lemma
schad,adj,alternative form of schade,lemma
schaden,verb,"to hurt, to be harmful",lemma
schaf,noun,sheep,lemma
schaffen,verb,"to create, to call into being",lemma
schalt,verb,to switch,form-of
schalten,verb,to switch,lemma
schande,noun,"disgrace, infamy, dishonour",lemma
scharf,adj,"sharp; able to cut (of a knife, edge)",lemma
schatten,noun,"shade, shadow",lemma
schatz,noun,treasure,lemma
schau,noun,show,lemma
schauen,verb,"to watch, to view (a movie or other performance)",lemma
schauspiel,noun,"play (theatrical performance), drama",lemma
schauspielerin,noun,"actress, actor (female)",lemma
scheiden,verb,to dissolve (a marriage); to divorce (a couple),lemma
scheidung,noun,separation,lemma
scheinen,verb,to shine; to gleam,lemma
scheitern,verb,"to fail, to conclude unsuccessfully",lemma
scheiß,adj,"shitty, shit",lemma
schenken,verb,"to give as a present, to gift",lemma
scher,verb,to cut back something that grows,form-of
scherz,noun,joke,lemma
schicken,verb,"to send, to dispatch (a person, letter, money etc. to a destination or a person)",lemma
schicksal,noun,"destiny, fate (irresistible power that predetermines events)",lemma
schießen,verb,to shoot; to fire,lemma
schiff,noun,ship,lemma
schild,noun,"sign, plate (flat surface bearing information)",lemma
schirm,noun,screen (movable protective cover),lemma
schlacht,noun,battle,lemma
schlaf,noun,sleep (condition of reduced consciousness),lemma
schlafen,verb,to sleep,lemma
schlafzimmer,noun,"bedroom (bed-room), bedchamber (bed-chamber)",lemma
schlag,noun,"blow, hit",lemma
schlagen,verb,to beat; to hit; to knock; to strike; to punch; to hammer; to pound,lemma
schlang,verb,to wind,form-of
schlange,noun,snake,lemma
schlau,adj,clever in a way that enables one to achieve one's goals; slightly sly or cunning (but not usually implying any evil intentions),lemma
schlecht,adj,"bad, evil, wicked (the opposite of good; immoral)",lemma
schlief,verb,to sleep,form-of
schließen,verb,Switzerland and Liechtenstein standard spelling of schließen,lemma
schließlich,adv,"in the end, finally, eventually",lemma
schlimm,adj,"bad, terrible, serious (seriously bad), dire, horrible, awful",lemma
schloss,verb,alternative form of schloss,lemma
schlossen,verb,to hail,lemma
schluss,noun,"end, ending, conclusion, finish",lemma
schlüssel,noun,a key,lemma
schmecken,verb,to taste,lemma
schmerz,noun,"physical pain, ache (practically, as a sensation)",lemma
schmerzen,verb,"to hurt, to ache (to cause physical/bodily pain, often of parts of one's own body)",lemma
schmetterling,noun,butterfly,lemma
schmidt,name,"a common surname originating as an occupation, equivalent to English Smith",lemma
schmutzig,adj,"dirty, filthy, grimy",lemma
schnee,noun,snow,lemma
schneiden,verb,to cut; to carve; to slice,lemma
schneien,verb,to snow,lemma
schnell,adj,"quick, fast",lemma
schnitt,noun,"cut, the result of cutting",lemma
schockieren,verb,to shock,lemma
schokolade,noun,chocolate (food made from ground roasted cocoa beans),lemma
schon,adv,"already (happening rather early, continuing rather long)",lemma
schoss,noun,lap (area between the waist and knees of a seated person),lemma
schrank,noun,"cabinet (storage closet either separate from, or built into, a wall), or (specifically):",lemma
schrecklich,adj,"awful, terrible, horrible",lemma
schrei,noun,"shout, cry, scream",lemma
schreiben,verb,"to write, to write out (use letters to make words and texts)",lemma
schreibtisch,noun,"desk, cabinet (any table, frame, or case for the use of writers and readers; also a place for storing the papers)",lemma
schreien,verb,to shout; to yell; to cry; to scream; to howl,lemma
schrieb,noun,"something written, especially (derogatory) an official document or piece of paperwork",lemma
schriftsteller,noun,"author, writer",lemma
schritt,noun,"step, footstep (a single instance of walking)",lemma
schublade,noun,drawer (open-topped box in a cabinet used for storing),lemma
schuh,noun,shoe,lemma
schul,verb,to school,form-of
schuld,adj,only used in schuld sein (“to be at fault”),lemma
schulden,verb,to owe,lemma
schuldig,adj,"[with genitive] guilty (of), culpable",lemma
schult,name,a surname,lemma
schultern,verb,to shoulder (to carry something on one's shoulders),lemma
schutz,noun,protection,lemma
schwach,adj,"weak, lacking in strength",lemma
schwanger,adj,pregnant (of humans),lemma
schwanz,noun,tail,lemma
schwarz,adj,"black, reflecting little or no light",lemma
schweden,name,Sweden (a country in Scandinavia in Northern Europe),lemma
schweigen,verb,to be silent; to keep quiet,lemma
schwein,noun,"swine, pig",lemma
schweiz,name,Switzerland (a country in Western Europe and Central Europe),lemma
schwer,adj,"heavy, weighty",lemma
schwert,noun,sword,lemma
schwester,noun,sister,lemma
schwierig,adj,"difficult, hard, challenging, tough",lemma
schwierigkeit,noun,"difficulty, problem",lemma
schwimmen,verb,to swim (to use swimming motions to move in the water),lemma
schwul,adj,gay,lemma
schwäche,noun,weakness,lemma
schätzen,verb,to estimate; to guess; to suppose; to assume,lemma
schön,adj,"beautiful, lovely, pretty, handsome",lemma
schönheit,noun,"beauty, beautifulness",lemma
schüchtern,adj,"shy, timid, bashful",lemma
schüler,noun,"pupil, student, schoolboy (male or of unspecified gender)",lemma
schützen,verb,to defend; to protect; to shelter; to guard,lemma
sechs,noun,six,lemma
sechzig,noun,sixty (number),lemma
see,noun,lake,lemma
seele,noun,soul,lemma
sehen,verb,to see; to have sight,lemma
sehnsucht,noun,"yearning, longing; pining",lemma
sehr,adv,very,lemma
seil,noun,"rope, line, cord",lemma
sein,verb,forms the present perfect and past perfect tenses of certain verbs,lemma
seit,conj,since,lemma
seitdem,adv,since,lemma
seite,noun,side (a bounding straight edge of a two-dimensional shape),lemma
sekretärin,noun,female secretary,lemma
sekunde,noun,A unit of time; a second.,lemma
sekunden,noun,second,form-of
selben,pron,"self (as in myself, yourself, himself etc.)",form-of
selber,pron,"self (as in myself, yourself, himself etc.)",lemma
selbstmord,noun,suicide,lemma
selbstverständlich,adj,"natural, self-evident",lemma
selt,adj,"rare, infrequent, uncommon, scarce",form-fallback
seltsam,adj,"strange, weird, odd, funny, curious",lemma
senden,verb,to broadcast; to transmit,lemma
sendung,noun,delivery (by a postal service),lemma
september,noun,September,lemma
sessel,noun,"armchair, easy chair (comfortable chair with supports for the arms or elbows)",lemma
setzen,verb,to sit down,lemma
sex,noun,sex (sexual intercourse),lemma
shirt,noun,shirt,lemma
sich,pron,Reciprocal pronoun of the third person plural: each other (in both dative and accusative),lemma
sicher,adj,"safe, secure (not dangerous or in danger)",lemma
sicherheit,noun,certainty,lemma
sicherlich,adv,certainly,lemma
sicht,noun,view,lemma
