lemma,pos,gloss,source
bau,noun,"building, construction (the act of constructing)",lemma
bauch,noun,"abdomen, belly",lemma
bauen,verb,"to build, to construct",lemma
bauer,noun,farmer (male or of unspecified gender),lemma
baum,noun,tree,lemma
beantworten,verb,to answer (a question),lemma
bedanken,verb,"to thank, to express thanks",lemma
bedarf,verb,I need,form-of
bedecken,verb,to cover,lemma
bedeuten,verb,"to imply, to mean, to signify, to indicate, to spell, to betoken",lemma
bedeutung,noun,"meaning, sense",lemma
bedingung,noun,"requirement, prerequisite",lemma
bedroht,adj,threatened,lemma
beeilen,verb,"to hurry, to hasten, to rush",lemma
beeindrucken,verb,"to impress, to impose",lemma
beenden,verb,"to finish, to complete, to (bring/put to an) end",lemma
befehl,noun,"command, order",lemma
befinden,verb,to occupy a place; to be located; to be situated,lemma
befolgen,verb,"to observe, follow, obey (orders, laws, rules etc); to comply with or abide by",lemma
befreundet,adj,"friendly, friends",lemma
begegnen,verb,"meet, to encounter, to come across",lemma
begehen,verb,"to commit, perpetrate (a crime, an offense)",lemma
begeistert,adj,"enthusiastic, thrilled",lemma
beginn,noun,"start, beginning",lemma
beginnen,verb,to begin; to commence; to be started,lemma
begleiten,verb,to accompany,lemma
begraben,verb,to bury (also figuratively),lemma
begreifen,verb,"to grasp fully; to comprehend; to conceive, to fathom",lemma
begriff,noun,"term, word",lemma
behalten,verb,"to keep, to retain (money, items, etc. in one's possession)",lemma
behandeln,verb,to treat (medicinally),lemma
behandelt,adj,treated,lemma
behandlung,noun,treatment,lemma
behaupten,verb,"to claim, maintain, assert",lemma
behauptet,adj,"asserted, alleged",lemma
beherrschen,verb,to master,lemma
bei,prep,"by, near",lemma
beibringen,verb,to teach,lemma
beide,pron,both,lemma
beim,contraction,"contraction of bei + dem: at the, by the, etc.",lemma
bein,noun,"leg of a person, animal, or object",lemma
beinahe,adv,almost; nearly,lemma
beispiel,noun,example,lemma
beißen,verb,to bite,lemma
bekannt,adj,"known, familiar",lemma
bekommen,verb,to receive; to get,lemma
beleidigen,verb,"to offend, to insult, to annoy",lemma
belieben,verb,to please someone,lemma
bellen,verb,to bark:,lemma
belügen,verb,"to lie to, to tell someone a lie, to tell someone lies",lemma
bemerken,verb,"to notice, to perceive",lemma
bemühen,verb,to make an effort,lemma
bemühung,noun,effort; endeavor,lemma
benehmen,verb,"to behave, to act, to conduct oneself (in a certain way - specifically in a good/appropriate way if not otherwise specified)",lemma
benutzen,verb,to make use (of),lemma
benzin,noun,gasoline,lemma
benötigen,verb,"to need, to require",lemma
beobachten,verb,"to watch, to observe",lemma
bequem,adj,"comfortable, convenient",lemma
bereich,noun,"area, realm, range, scope",lemma
bereit,adj,ready,lemma
bereiten,verb,"to prepare, to make",lemma
bereits,adv,already,lemma
bereuen,verb,"to regret, to rue",lemma
berg,noun,"a mountain, hill",lemma
bericht,noun,"report, account, news story",lemma
berlin,name,Berlin (the capital and largest city and state of Germany),lemma
beruf,noun,"occupation, profession, trade, job, career",lemma
beruhen,verb,to consist,lemma
berühmt,adj,"famous, well-known, renowned, celebrated, noted",lemma
berühren,verb,to touch,lemma
bescheid,noun,"notification, information",lemma
bescheiden,verb,"to confer the decision or fate formally, to announce, to proclaim",lemma
beschließen,verb,"to conclude, end; to terminate",lemma
beschloss,verb,alternative form of beschloss,lemma
beschreiben,verb,to describe,lemma
beschweren,verb,"to weight, to weight down",lemma
beschäftigen,verb,"to occupy, to keep occupied, to employ, to engage (possess or use the time, capacity or service of)",lemma
