form,lemma,source,pos
dauerte,dauern,kaikki-form-of,verb
früchte,frucht,kaikki-form-of,noun
kollegen,kollege,kaikki-form-of,noun
schenkte,schenken,kaikki-form-of,verb
geliehen,leihen,kaikki-form-of,verb
hob,heben,kaikki-form-of,verb
buchstaben,buchstabe,kaikki-form-of,noun
riet,raten,kaikki-form-of,verb
wärest,sein,kaikki-form-of,verb
denk,denken,kaikki-form-of,verb
wusstest,wissen,kaikki-form-of,verb
setz,setzen,kaikki-form-of,verb
weinte,weinen,kaikki-form-of,verb
zeig,zeigen,kaikki-form-of,verb
erkannt,erkennen,kaikki-form-of,verb
nachgedacht,nachdenken,kaikki-form-of,verb
socken,socke,kaikki-form-of,noun
waffen,waffe,kaikki-form-of,noun
besseres,gut,kaikki-form-of,adj
käme,kommen,kaikki-form-of,verb
lippen,lippe,kaikki-form-of,noun
heutigen,heutig,kaikki-form-of,adj
hieß,heißen,kaikki-form-of,verb
erhielt,erhalten,kaikki-form-of,verb
schwanger,schwanger,kaikki-headword,adj
ältere,alt,kaikki-form-of,adj
verbrachte,verbringen,kaikki-form-of,verb
betrat,betreten,kaikki-form-of,verb
meistens,meistens,kaikki-headword,adv
sagtest,sagen,kaikki-form-of,verb
ändert,ändern,kaikki-form-of,verb
bösen,böse,kaikki-form-of,adj;noun
eurem,euer,kaikki-form-of,det
wäsche,wäsche,kaikki-headword,noun
schrie,schreien,kaikki-form-of,verb
söhne,sohn,kaikki-form-of,noun
dieselbe,derselbe,kaikki-form-of,pron
kehrte,kehren,kaikki-form-of,verb
anderem,anderer,kaikki-form-of,adj
steckte,stecken,kaikki-form-of,verb
dritten,dritte,kaikki-form-of,num
ergibt,ergeben,kaikki-form-of,verb
vergisst,vergessen,kaikki-form-of,verb
jenem,jener,kaikki-form-of,pron
männern,mann,kaikki-form-of,noun
schlägt,schlagen,kaikki-form-of,verb
heiratete,heiraten,kaikki-form-of,verb
lies,lesen,kaikki-form-of,verb
ausgegangen,ausgehen,kaikki-form-of,verb
flog,fliegen,kaikki-form-of,verb
geträumt,träumen,kaikki-form-of,verb
anzurufen,anrufen,kaikki-form-of,verb
dürfte,dürfen,kaikki-form-of,verb
kennenzulernen,kennenlernen,kaikki-form-of,verb
regnete,regnen,kaikki-form-of,verb
angezogen,anziehen,kaikki-form-of,verb
höher,hoch,kaikki-form-of,adj
leiter,leiter,kaikki-headword,noun
anzusehen,ansehen,kaikki-form-of,verb
nahmen,nehmen,kaikki-form-of,verb
weigerte,weigern,kaikki-form-of,verb
ergebnisse,ergebnis,kaikki-form-of,noun
hielten,halten,kaikki-form-of,verb
selben,selber,kaikki-form-of,pron
töchter,tochter,kaikki-form-of,noun
besseren,gut,kaikki-form-of,adj
wünscht,wünschen,kaikki-form-of,verb
